BUSDATA_ID,DEAL_TYPE,DEAL_SEQ_NUM,DEAL_TIME,SAM_CODE,CITY_CODE,BUSINESS_CODE,GRANT_CARD_CODE,CARD_TYPE,MONTH_TICKET_TYPE,LINE_CODE,VEHICLE_CODE,ON_STATION,OFF_STATION,DRIVER_CODE,CHECKER_CODE,VAL_FLAG,CREATEDATE,UPDATEDATE,BL_COMP_CODE,RUN_COMP_CODE,LOW_COMP_CODE,BUS_GROUP_CODE,GET_POINT_CODE,POS_CODE,UP_TIME
18306983539,0,7544,20160307054949,300030780,1000,7510,46979719,1,86,118,95642,9,9,9000755,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,19700101010101
18306973771,0,5996,20160307054957,100002040,1000,7510,1637234,1,86,118,95656,4,4,9000601,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,19700101010101
18306981290,0,5996,20160307055115,100002040,1000,7510,43804261,1,86,118,95656,5,5,9000601,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,19700101010101
18306941064,6,90573,20160307055252,300026940,1000,7511,16294052,1,86,118,95632,6,17,9000658,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,20160307052401
18306944427,0,6968,20160307055419,300001099,1000,7510,79075754,1,86,118,95645,11,11,9000671,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,19700101010101
18306978809,0,6357,20160307055422,300010753,1000,7510,10128761,1,86,118,95631,1,1,9000712,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,19700101010101
18306980669,0,5996,20160307055446,100002040,1000,7511,15787715,1,86,118,95656,6,6,9000601,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,19700101010101
18306976465,6,90574,20160307055453,300026940,1000,7510,89424127,1,86,118,95632,6,17,9000658,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,20160307052401
18306978376,6,97784,20160307055458,200000914,1000,7510,82265638,1,86,118,95642,10,7,9000755,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,20160307054501
18306985659,6,97785,20160307055506,200000914,1000,7510,20889932,1,0,118,95642,10,7,9000755,0,,20160308203119,20160308203119,75100800,0,0,520,0,0,20160307054501
18307570141,0,5515,20160307055557,300011029,1000,7510,50654159,1,86,118,95657,12,12,9000771,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307587873,0,5515,20160307055602,300011029,1000,7510,75808695,1,86,118,95657,12,12,9000771,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18305347260,0,5094,20160307055632,300026953,1000,7510,69467600,1,86,118,95655,16,16,9000666,0,,20160308201736,20160308201736,75101500,0,0,1544,0,0,19700101010101
18307563475,0,5996,20160307055715,100002040,1000,7511,15093547,1,86,118,95656,7,7,9000601,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307578773,6,90575,20160307055716,300026940,1000,7510,39724340,1,86,118,95632,7,18,9000658,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,20160307052501
18307567608,6,97786,20160307055717,200000914,1000,7511,11838668,1,86,118,95642,17,6,9000755,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,20160307052801
18307586806,0,6357,20160307055753,300010753,1000,7510,44780104,1,86,118,95631,1,1,9000712,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307564076,6,90576,20160307055756,300026940,1000,7511,11246994,1,86,118,95632,6,18,9000658,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,20160307052401
18307574194,0,5515,20160307055800,300011029,1000,7510,31555864,1,86,118,95657,11,11,9000771,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307580612,0,5515,20160307055803,300011029,1000,7510,71077264,1,86,118,95657,11,11,9000771,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307566708,6,97787,20160307055817,200000914,1000,7510,83306896,1,86,118,95642,14,5,9000755,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,20160307053201
18305354734,0,5094,20160307055823,300026953,1000,7510,44577720,1,86,118,95655,16,16,9000666,0,,20160308201736,20160308201736,75101500,0,0,1544,0,0,19700101010101
18305357186,0,5094,20160307055826,300026953,1000,7510,23872432,1,86,118,95655,16,16,9000666,0,,20160308201736,20160308201736,75101500,0,0,1544,0,0,19700101010101
18305344932,6,73371,20160307055830,300026948,1000,7510,44577720,1,86,118,95655,16,16,9000666,0,,20160308201736,20160308201736,75101500,0,0,1544,0,0,20160307055801
18307585061,6,97788,20160307055904,200000914,1000,7510,46979719,1,86,118,95642,9,5,9000755,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,20160307054901
18304930981,0,5094,20160307055952,300026953,1000,7510,81546668,19,86,118,95655,15,15,9000666,0,,20160308201311,20160308201311,75101500,0,0,5384,0,0,19700101010101
18307568119,0,5285,20160307060031,300026936,1000,7510,79307919,1,86,118,95651,6,6,9000679,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307564597,0,5285,20160307060033,300026936,1000,7510,72505112,1,86,118,95651,6,6,9000679,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307583051,0,6357,20160307060041,300010753,1000,7510,74147617,1,86,118,95631,2,2,9000712,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18304929478,0,73371,20160307060043,300026948,1000,7510,44577720,1,86,118,95655,14,14,9000666,0,,20160308201311,20160308201311,75101500,0,0,5384,0,0,19700101010101
18304931506,0,6524,20160307060053,200002565,1000,7510,75132352,1,86,118,95646,1,1,9000720,0,,20160308201311,20160308201311,75101500,0,0,5384,0,0,19700101010101
18304923396,0,5094,20160307060107,300026953,1000,7510,68729681,1,86,118,95655,14,14,9000666,0,,20160308201311,20160308201311,75101500,0,0,5384,0,0,19700101010101
18304924812,0,5094,20160307060109,300026953,1000,7510,89564471,1,86,118,95655,14,14,9000666,0,,20160308201311,20160308201311,75101500,0,0,5384,0,0,19700101010101
18304925760,6,5095,20160307060113,300026953,1000,7510,44577720,1,86,118,95655,14,14,9000666,0,,20160308201311,20160308201311,75101500,0,0,5384,0,0,20160307060001
18307586925,0,5285,20160307060120,300026936,1000,7510,48099283,1,86,118,95651,7,7,9000679,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307581932,0,5996,20160307060120,100002040,1000,7510,13633145,1,86,118,95656,8,8,9000601,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307569930,0,5285,20160307060122,300026936,1000,7510,4893073,1,86,118,95651,7,7,9000679,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307584715,0,5996,20160307060122,100002040,1000,7510,49122492,1,86,118,95656,8,8,9000601,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307591196,6,5997,20160307060133,100002040,1000,7510,80799541,1,86,118,95656,2,9,9000601,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,20160307054501
18307571002,185,5516,20160307060149,300011029,1000,7510,12687292,7,0,118,95657,0,10,9000771,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307583152,0,5997,20160307060204,100002040,1000,7510,85942792,1,86,118,95656,9,9,9000601,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307582226,0,6357,20160307060213,300010753,1000,7510,49200112,1,86,118,95631,2,2,9000712,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307585115,6,90714,20160307060341,300030755,1000,7510,79075754,1,86,118,95645,11,11,9000671,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,20160307055401
18307575200,0,6388,20160307060405,400002249,1000,7510,63057070,1,86,118,95635,18,18,90814211,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307564733,0,6388,20160307060409,400002249,1000,7510,79827734,1,86,118,95635,18,18,90814211,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307568274,0,6388,20160307060411,400002249,1000,7510,45651376,1,86,118,95635,18,18,90814211,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307579302,0,6388,20160307060413,400002249,1000,7510,69046578,1,86,118,95635,18,18,90814211,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307584438,0,6357,20160307060418,300010753,1000,7510,2798166,1,86,118,95631,3,3,9000712,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307580614,0,6357,20160307060419,300010753,1000,7510,21632234,1,86,118,95631,3,3,9000712,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18304893836,0,5095,20160307060427,300026953,1000,7510,52805611,1,86,118,95655,13,13,9000666,0,,20160308201311,20160308201311,75101500,0,0,5384,0,0,19700101010101
18307581490,0,6968,20160307060455,300001099,1000,7510,10300968,1,86,118,95645,11,11,9000671,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307573177,0,6968,20160307060458,300001099,1000,7510,44107205,1,86,118,95645,11,11,9000671,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18304930006,0,5095,20160307060509,300026953,1000,7510,6908332,1,86,118,95655,13,13,9000666,0,,20160308201311,20160308201311,75101500,0,0,5384,0,0,19700101010101
18304891369,0,5095,20160307060511,300026953,1000,7510,85590963,1,86,118,95655,13,13,9000666,0,,20160308201311,20160308201311,75101500,0,0,5384,0,0,19700101010101
18307565372,6,79295,20160307060547,300030765,1000,7510,85176083,1,86,118,95657,18,8,9000771,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,20160307053901
18307570487,6,79879,20160307060550,300008491,1000,7510,46929576,1,86,118,95656,2,10,9000601,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,20160307054501
18305612226,0,6524,20160307060604,200002565,1000,7510,23961851,1,86,118,95646,1,1,9000720,0,,20160308202157,20160308202157,75101500,0,0,6296,0,0,19700101010101
18305608498,0,6524,20160307060606,200002565,1000,7511,18245129,1,86,118,95646,1,1,9000720,0,,20160308202157,20160308202157,75101500,0,0,6296,0,0,19700101010101
18307587137,0,6388,20160307060624,400002249,1000,7510,1964640,1,86,118,95635,17,17,90814211,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307574832,0,6388,20160307060626,400002249,1000,7510,87075610,1,86,118,95635,17,17,90814211,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307583582,0,5997,20160307060632,100002040,1000,7510,50976166,1,86,118,95656,10,10,9000601,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307577540,0,5997,20160307060633,100002040,1000,7510,32458648,1,86,118,95656,10,10,9000601,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307578069,0,6388,20160307060635,400002249,1000,7510,6639285,1,86,118,95635,17,17,90814211,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307571167,0,5997,20160307060636,100002040,1000,7510,19526859,1,86,118,95656,10,10,9000601,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307583176,0,5997,20160307060638,100002040,1000,7510,64052866,1,86,118,95656,10,10,9000601,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307569486,0,5997,20160307060639,100002040,1000,7510,81398226,1,86,118,95656,10,10,9000601,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307572579,0,5997,20160307060641,100002040,1000,7511,19608094,1,86,118,95656,10,10,9000601,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307581912,0,5997,20160307060643,100002040,1000,7511,12779140,1,86,118,95656,10,10,9000601,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307569963,0,5516,20160307060654,300011029,1000,7510,24860916,1,86,118,95657,8,8,9000771,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18307581851,6,79296,20160307060745,300030765,1000,7510,67669884,1,86,118,95657,17,7,9000771,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,20160307054201
18307565268,6,84161,20160307060755,200001076,1000,7510,49200112,1,86,118,95631,2,5,9000712,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,20160307060201
18307570349,0,5285,20160307060757,300026936,1000,7511,16301879,1,86,118,95651,8,8,9000679,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,19700101010101
18305614198,0,6524,20160307060758,200002565,1000,7510,73127411,1,86,118,95646,2,2,9000720,0,,20160308202157,20160308202157,75101500,0,0,6296,0,0,19700101010101
18305609914,0,6524,20160307060800,200002565,1000,7510,47793739,1,86,118,95646,2,2,9000720,0,,20160308202157,20160308202157,75101500,0,0,6296,0,0,19700101010101
18307574652,6,83071,20160307060802,300026949,1000,7510,69046578,1,86,118,95635,18,16,90814211,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,20160307060401
18307598212,6,90715,20160307060814,300030755,1000,7510,41008550,81,86,118,95645,8,11,9000671,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,20160307054701
18307565062,6,79297,20160307060829,300030765,1000,7510,75808695,1,86,118,95657,12,7,9000771,0,,20160308203627,20160308203627,75100800,0,0,520,0,0,20160307055601
