BUSDATA_ID,DEAL_TYPE,DEAL_SEQ_NUM,DEAL_TIME,SAM_CODE,BUSINESS_CODE,GRANT_CARD_CODE,CARD_TYPE,MONTH_TICKET_TYPE,LINE_CODE,VEHICLE_CODE,ON_STATION,OFF_STATION,DRIVER_CODE,CREATEDATE,UPDATEDATE,BUS_GROUP_CODE,POS_CODE,UP_TIME
18349947548,0,4666,20160310055657,300024745,7511,17099184,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349993201,0,2773,20160310055657,300024744,7510,87407894,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18350217650,6,19231,20160310055658,300024739,7510,61825716,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,20160310055601
18349984886,0,2773,20160310055659,300024744,7510,71924347,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349984406,0,4666,20160310055700,300024745,7510,75445777,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18350227559,6,19232,20160310055701,300024739,7511,13885746,1,2,362,420201,21,15,4004657,20160311170108,20160311170108,5124,0,20160310053101
18349993523,0,2773,20160310055702,300024744,7510,46716581,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349987858,0,4666,20160310055702,300024745,7510,46255378,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18350188545,6,19233,20160310055702,300024739,7510,81347760,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,20160310055601
18349983899,0,2773,20160310055703,300024744,7510,89875651,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349946960,0,2773,20160310055705,300024744,7510,78895604,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349994431,0,2773,20160310055706,300024744,7510,84794181,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
18349985844,0,4666,20160310055707,300024745,7510,45686380,1,2,362,420201,15,15,4004657,20160311170108,20160311170108,5124,0,19700101010101
